x,y,z,cond_ok
43.0,2.0,0.0,-0.21083285053055037
44.0,2.0,0.0,-0.22115137572720273
45.0,2.0,0.0,-0.2313562435940702
46.0,2.0,0.0,-0.24142188675599902
47.0,2.0,0.0,-0.25132289075345393
48.0,2.0,0.0,-0.26103401876855103
49.0,2.0,0.0,-0.2705302397984335
50.0,2.0,0.0,-0.27978676092727317
51.0,2.0,0.0,-0.2887790642720063
52.0,2.0,0.0,-0.2974829490799304
53.0,2.0,0.0,-0.30587457933772555
54.0,2.0,0.0,-0.3139305371109466
55.0,2.0,0.0,-0.47024740706144785
56.0,2.0,0.0,-0.4776371566420261
57.0,2.0,0.0,-0.48380534233333716
58.0,2.0,0.0,-0.4886051085039796
59.0,2.0,0.0,-0.49204530809859237
60.0,2.0,0.0,-0.49426152157763936
61.0,2.0,0.0,-0.4955500910043685
62.0,2.0,0.0,-0.49592006381516884
63.0,2.0,0.0,-0.4953695107725884
64.0,2.0,0.0,-0.49389778463249834
65.0,2.0,0.0,-0.4915055947784836
66.0,2.0,0.0,-0.48819507676243545
67.0,2.0,0.0,-0.483969855240802
68.0,2.0,0.0,-0.6088361693090948
69.0,2.0,0.0,-0.6026024392649824
70.0,2.0,0.0,-0.595434432772132
71.0,2.0,0.0,-0.587342772868757
72.0,2.0,0.0,-0.4675130002752593
73.0,2.0,0.0,-0.45794244005825213
74.0,2.0,0.0,-0.4477576235090742
